ENSMUSG00000009073	SINGLE_PROTEIN	ENSMUSG00000009073	composite	composite	1	True	True	4720	776	2339	.
ENSMUSG00000009073	SINGLE_PROTEIN	ENSMUST00000109910	ensembl_havana	ENSMUSP00000105536	1	True	True	4720	776	2339	*
ENSMUSG00000025220	SINGLE_PROTEIN	ENSMUSG00000025220	composite	composite	1	True	True	5024	615	3138	.
ENSMUSG00000025220	SINGLE_PROTEIN	ENSMUST00000026243	ensembl	ENSMUSP00000026243	1	True	True	5024	615	3138	*
ENSMUSG00000047139	SINGLE_PROTEIN	ENSMUSG00000047139	composite	composite	1	True	True	1816	310	313	.
ENSMUSG00000047139	SINGLE_PROTEIN	ENSMUST00000058714	ensembl_havana	ENSMUSP00000057983	1	True	True	1816	310	313	*
ENSMUSG00000028964	MULTIPLE_INCLUSIVE	ENSMUSG00000028964	composite	composite	5	True	False	1200	677	1019	.
ENSMUSG00000028964	MULTIPLE_INCLUSIVE	ENSMUST00000128075	havana	ENSMUSP00000115875	5	True	False	715	533	715	.
ENSMUSG00000028964	MULTIPLE_INCLUSIVE	ENSMUST00000030805	ensembl_havana	ENSMUSP00000030805	1	True	True	908	385	727	*
ENSMUSG00000027655	SINGLE_PROTEIN	ENSMUSG00000027655	composite	composite	5	True	True	3284	307	2191	.
ENSMUSG00000027655	SINGLE_PROTEIN	ENSMUST00000109478	havana	ENSMUSP00000105104	5	True	True	3284	307	2191	*
ENSMUSG00000000782	SINGLE_PROTEIN	ENSMUSG00000000782	composite	composite	1	True	True	2471	272	956	.
ENSMUSG00000000782	SINGLE_PROTEIN	ENSMUST00000086844	ensembl_havana	ENSMUSP00000084055	1	True	True	2471	272	956	*
ENSMUSG00000026819	MULTIPLE_NONINCLUSIVE	ENSMUSG00000026819	composite	composite	1	True	True	3741	650	2087	.
ENSMUSG00000026819	MULTIPLE_NONINCLUSIVE	ENSMUST00000052119	ensembl_havana	ENSMUSP00000060581	1	True	True	3529	597	1875	.
ENSMUSG00000026819	MULTIPLE_NONINCLUSIVE	ENSMUST00000113307	havana	ENSMUSP00000108932	1	True	True	2541	278	1460	.
ENSMUSG00000070737	SINGLE_PROTEIN	ENSMUSG00000070737	composite	composite	2	True	True	1762	949	1135	.
ENSMUSG00000070737	SINGLE_PROTEIN	ENSMUST00000106097	havana	ENSMUSP00000101703	2	True	True	1762	949	1135	*
ENSMUSG00000038530	SINGLE_PROTEIN	ENSMUSG00000038530	composite	composite	1	True	True	2941	344	734	.
ENSMUSG00000038530	SINGLE_PROTEIN	ENSMUST00000027991	ensembl_havana	ENSMUSP00000027991	1	True	True	2941	344	734	*
ENSMUSG00000042626	SINGLE_PROTEIN	ENSMUSG00000042626	composite	composite	1	True	True	3250	495	1677	.
ENSMUSG00000042626	SINGLE_PROTEIN	ENSMUST00000039110	ensembl_havana	ENSMUSP00000035361	1	True	True	3250	495	1677	*
ENSMUSG00000018900	SINGLE_PROTEIN	ENSMUSG00000018900	composite	composite	1	True	True	3062	346	1792	.
ENSMUSG00000018900	SINGLE_PROTEIN	ENSMUST00000019044	ensembl_havana	ENSMUSP00000019044	1	True	True	3062	346	1792	*
ENSMUSG00000056592	SINGLE_PROTEIN	ENSMUSG00000056592	composite	composite	1	True	True	3495	561	2997	.
ENSMUSG00000056592	SINGLE_PROTEIN	ENSMUST00000107972	havana	ENSMUSP00000103606	1	True	True	3495	561	2997	*
ENSMUSG00000052726	SINGLE_PROTEIN	ENSMUSG00000052726	composite	composite	5	True	True	5790	324	3432	.
