ENSMUSG00000000001	Gnai3	protein_coding	ENSMUST00000000001	Gnai3-201	protein_coding
ENSMUSG00000000028	Cdc45	protein_coding	ENSMUST00000115585	Cdc45-203	protein_coding
ENSMUSG00000000049	Apoh	protein_coding	ENSMUST00000000049	Apoh-201	protein_coding
ENSMUSG00000000056	Narf	protein_coding	ENSMUST00000103015	Narf-201	protein_coding
ENSMUSG00000000058	Cav2	protein_coding	ENSMUST00000000058	Cav2-201	protein_coding
ENSMUSG00000000058	Cav2	protein_coding	ENSMUST00000115459	Cav2-202	protein_coding
ENSMUSG00000000078	Klf6	protein_coding	ENSMUST00000000080	Klf6-201	protein_coding
ENSMUSG00000000085	Scmh1	protein_coding	ENSMUST00000000087	Scmh1-201	protein_coding
ENSMUSG00000000085	Scmh1	protein_coding	ENSMUST00000144555	Scmh1-211	processed_transcript
ENSMUSG00000000088	Cox5a	protein_coding	ENSMUST00000213678	Cox5a-202	retained_intron
ENSMUSG00000000088	Cox5a	protein_coding	ENSMUST00000214154	Cox5a-203	retained_intron
ENSMUSG00000000093	Tbx2	protein_coding	ENSMUST00000000095	Tbx2-201	protein_coding
ENSMUSG00000000120	Ngfr	protein_coding	ENSMUST00000000122	Ngfr-201	protein_coding
ENSMUSG00000000126	Wnt9a	protein_coding	ENSMUST00000000128	Wnt9a-201	protein_coding
ENSMUSG00000000127	Fer	protein_coding	ENSMUST00000000129	Fer-201	protein_coding
ENSMUSG00000000131	Xpo6	protein_coding	ENSMUST00000168189	Xpo6-213	protein_coding
ENSMUSG00000000131	Xpo6	protein_coding	ENSMUST00000170675	Xpo6-218	processed_transcript
ENSMUSG00000000134	Tfe3	protein_coding	ENSMUST00000077680	Tfe3-201	protein_coding
ENSMUSG00000000134	Tfe3	protein_coding	ENSMUST00000137467	Tfe3-211	protein_coding
ENSMUSG00000000134	Tfe3	protein_coding	ENSMUST00000143680	Tfe3-212	retained_intron
ENSMUSG00000000142	Axin2	protein_coding	ENSMUST00000052915	Axin2-201	protein_coding
ENSMUSG00000000142	Axin2	protein_coding	ENSMUST00000140821	Axin2-204	protein_coding
ENSMUSG00000000148	Brat1	protein_coding	ENSMUST00000110806	Brat1-203	protein_coding
ENSMUSG00000000148	Brat1	protein_coding	ENSMUST00000124892	Brat1-204	retained_intron
ENSMUSG00000000149	Gna12	protein_coding	ENSMUST00000000153	Gna12-201	protein_coding
ENSMUSG00000000154	Slc22a18	protein_coding	ENSMUST00000105917	Slc22a18-202	protein_coding
ENSMUSG00000000157	Itgb2l	protein_coding	ENSMUST00000113773	Itgb2l-202	protein_coding
ENSMUSG00000000159	Igsf5	protein_coding	ENSMUST00000000163	Igsf5-201	protein_coding
ENSMUSG00000000159	Igsf5	protein_coding	ENSMUST00000113794	Igsf5-203	protein_coding
ENSMUSG00000000168	Dlat	protein_coding	ENSMUST00000034567	Dlat-201	protein_coding
ENSMUSG00000000171	Sdhd	protein_coding	ENSMUST00000000175	Sdhd-201	protein_coding
ENSMUSG00000000184	Ccnd2	protein_coding	ENSMUST00000000188	Ccnd2-201	protein_coding
ENSMUSG00000000184	Ccnd2	protein_coding	ENSMUST00000202363	Ccnd2-208	retained_intron
ENSMUSG00000000194	Gpr107	protein_coding	ENSMUST00000056433	Gpr107-201	protein_coding
ENSMUSG00000000194	Gpr107	protein_coding	ENSMUST00000133207	Gpr107-203	processed_transcript
ENSMUSG00000000194	Gpr107	protein_coding	ENSMUST00000151991	Gpr107-207	processed_transcript
ENSMUSG00000000247	Lhx2	protein_coding	ENSMUST00000000253	Lhx2-201	protein_coding
ENSMUSG00000000253	Gmpr	protein_coding	ENSMUST00000000260	Gmpr-201	protein_coding
ENSMUSG00000000266	Mid2	protein_coding	ENSMUST00000112990	Mid2-202	protein_coding
ENSMUSG00000000275	Trim25	protein_coding	ENSMUST00000107896	Trim25-203	protein_coding
ENSMUSG00000000276	Dgke	protein_coding	ENSMUST00000107894	Dgke-202	protein_coding
ENSMUSG00000000278	Scpep1	protein_coding	ENSMUST00000000287	Scpep1-201	protein_coding
ENSMUSG00000000282	Mnt	protein_coding	ENSMUST00000000291	Mnt-201	protein_coding
ENSMUSG00000000290	Itgb2	protein_coding	ENSMUST00000000299	Itgb2-201	protein_coding
ENSMUSG00000000295	Hddc2	protein_coding	ENSMUST00000000304	Hddc2-201	protein_coding
ENSMUSG00000000296	Tpd52l1	protein_coding	ENSMUST00000000305	Tpd52l1-201	protein_coding
ENSMUSG00000000301	Pemt	protein_coding	ENSMUST00000102692	Pemt-202	protein_coding
ENSMUSG00000000303	Cdh1	protein_coding	ENSMUST00000000312	Cdh1-201	protein_coding
ENSMUSG00000000317	Bcl6b	protein_coding	ENSMUST00000000326	Bcl6b-201	protein_coding
ENSMUSG00000000325	Arvcf	protein_coding	ENSMUST00000115610	Arvcf-202	protein_coding
ENSMUSG00000000325	Arvcf	protein_coding	ENSMUST00000115613	Arvcf-204	protein_coding
ENSMUSG00000000326	Comt	protein_coding	ENSMUST00000165430	Comt-204	protein_coding
ENSMUSG00000000340	Dbt	protein_coding	ENSMUST00000000349	Dbt-201	protein_coding
ENSMUSG00000000346	Dazap2	protein_coding	ENSMUST00000000356	Dazap2-201	protein_coding
ENSMUSG00000000355	Mcts1	protein_coding	ENSMUST00000000365	Mcts1-201	protein_coding
ENSMUSG00000000355	Mcts1	protein_coding	ENSMUST00000134573	Mcts1-203	processed_transcript
ENSMUSG00000000355	Mcts1	protein_coding	ENSMUST00000140204	Mcts1-204	processed_transcript
ENSMUSG00000000374	Trappc10	protein_coding	ENSMUST00000000384	Trappc10-201	protein_coding
ENSMUSG00000000378	Ccm2	protein_coding	ENSMUST00000000388	Ccm2-201	protein_coding
ENSMUSG00000000378	Ccm2	protein_coding	ENSMUST00000161667	Ccm2-208	retained_intron
